order_id,user_id,order_timestamp,status,amount
1001,1,10th January 2026 09:15:22,1,120.50
1002,1,15th March 2026 14:32:10,1,75.25
1003,2,20th January 2026 11:45:00,1,220.00
1004,2,5th March 2026 16:10:55,2,220.00
1005,3,10th February 2026 08:30:15,1,99.99
1006,3,12th April 2026 19:05:30,1,180.75
1007,4,15th February 2026 13:20:45,3,50.00
1008,5,1st March 2026 10:00:00,1,340.00
1009,5,25th March 2026 17:40:22,1,89.50
1010,5,10th May 2026 12:15:45,1,125.00
1011,6,5th March 2026 15:50:12,1,45.99
1012,7,20th March 2026 09:25:30,1,510.00
1013,7,5th April 2026 18:45:15,3,149.99
1014,8,1st April 2026 11:10:10,1,65.50
1015,9,15th April 2026 14:55:20,2,79.99
1017,10,5th May 2026 08:15:45,1,310.00
1018,10,20th May 2026 19:30:00,1,150.00
1018,,20th May 2026 19:30:00,1,150.00
